Name,Household Income Total,Income 100000 to 124999,Income 125000 to 149999,Income 150000 to 199999,Income 200000 or more,Total Children Under 18y,Total Children Under 18 in Married,Total 5y,Total 6 to 11y,Total 12 to 17y,Total Children in Other Families,Total Children Under 18 w/Male Housholder,Total 5y w/Male Housholder,Total 6 to 11y w/Male Housholder,Total 12 to 17y w/Male Housholder,Total Children Under 18 w/Female Housholder,Total 5y w/Female Housholder,Total 6 to 11y w/Female Housholder,Total 12 to 17y w/Female Housholder,State,County,Tract
Census Tract 54.03; San Diego County; California,1494,0,133,130,494,31,31,0,0,31,0,0,0,0,0,0,0,0,0,06,073,005403
Census Tract 55; San Diego County; California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,073,005500
Census Tract 56.01; San Diego County; California,1708,131,134,85,287,265,232,0,0,151,33,0,0,0,0,33,0,33,0,06,073,005601
Census Tract 56.02; San Diego County; California,1382,114,89,234,111,69,69,0,0,0,0,0,0,0,0,0,0,0,0,06,073,005602
Census Tract 57; San Diego County; California,865,120,37,66,30,41,26,0,8,0,15,0,0,0,0,15,0,0,0,06,073,005700
Census Tract 58.01; San Diego County; California,1082,82,133,80,176,96,96,0,70,17,0,0,0,0,0,0,0,0,0,06,073,005801
Census Tract 58.02; San Diego County; California,1639,301,307,252,243,23,8,0,0,0,15,15,0,0,0,0,0,0,0,06,073,005802
Census Tract 59; San Diego County; California,1974,168,185,167,169,62,43,0,11,6,19,0,0,0,0,19,0,0,19,06,073,005900
Census Tract 60; San Diego County; California,2232,163,321,171,495,165,165,0,0,28,0,0,0,0,0,0,0,0,0,06,073,006000
Census Tract 61; San Diego County; California,1063,85,64,177,204,298,178,0,29,41,120,27,0,0,0,93,0,37,56,06,073,006100
Census Tract 62; San Diego County; California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,073,006200
Census Tract 63; San Diego County; California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,073,006300
Census Tract 65; San Diego County; California,1579,163,97,135,128,301,270,0,111,32,31,27,0,0,27,4,0,0,4,06,073,006500
Census Tract 66; San Diego County; California,486,30,40,13,21,860,826,66,289,107,34,10,0,0,0,24,0,3,0,06,073,006600
Census Tract 68.01; San Diego County; California,1559,126,326,94,29,458,141,0,42,15,317,187,53,48,29,130,0,56,61,06,073,006801
Census Tract 68.02; San Diego County; California,2643,522,226,263,187,702,490,37,142,98,212,0,0,0,0,212,0,112,67,06,073,006802
Census Tract 69; San Diego County; California,2047,286,125,191,592,1301,1200,101,365,644,101,24,0,0,0,77,0,25,26,06,073,006900
Census Tract 70.02; San Diego County; California,1259,129,82,199,516,521,424,31,145,159,97,54,0,24,30,43,0,25,18,06,073,007002
Census Tract 71; San Diego County; California,2215,225,96,490,588,576,422,53,173,47,154,91,0,91,0,63,0,20,43,06,073,007100
Census Tract 72; San Diego County; California,1461,111,41,285,489,792,763,55,247,165,29,10,0,0,10,19,0,0,19,06,073,007200
Census Tract 73.02; San Diego County; California,972,91,60,177,331,611,427,11,102,147,184,167,0,146,21,17,4,13,0,06,073,007302
Census Tract 73.03; San Diego County; California,894,94,17,122,269,142,142,0,30,0,0,0,0,0,0,0,0,0,0,06,073,007303
Census Tract 73.04; San Diego County; California,2017,503,99,182,154,193,103,0,42,61,90,0,0,0,0,90,0,22,0,06,073,007304
Census Tract 74.01; San Diego County; California,1532,165,167,212,68,588,339,0,128,16,249,32,0,15,0,217,29,48,94,06,073,007401
Census Tract 74.02; San Diego County; California,1525,216,101,199,256,965,906,23,165,87,59,59,0,29,0,0,0,0,0,06,073,007402
Census Tract 75.01; San Diego County; California,2092,207,155,240,156,275,161,20,0,10,114,75,0,38,16,39,0,0,12,06,073,007501
Census Tract 75.02; San Diego County; California,1782,279,91,98,164,248,151,8,23,50,97,22,0,12,0,75,9,0,0,06,073,007502
Census Tract 76.01; San Diego County; California,1235,172,70,66,169,20,20,0,9,5,0,0,0,0,0,0,0,0,0,06,073,007601
Census Tract 76.02; San Diego County; California,987,186,32,155,42,77,0,0,0,0,77,0,0,0,0,77,0,40,37,06,073,007602
Census Tract 77.01; San Diego County; California,2084,354,127,283,267,157,51,0,0,0,106,74,0,0,28,32,0,0,32,06,073,007701
Census Tract 77.02; San Diego County; California,1819,73,264,148,306,238,150,0,29,41,88,73,0,0,52,15,0,15,0,06,073,007702
Census Tract 78; San Diego County; California,2643,242,410,144,207,1143,971,99,316,187,172,63,0,63,0,109,0,0,109,06,073,007800
Census Tract 79.05; San Diego County; California,1311,214,208,128,102,194,118,0,82,0,76,48,0,19,0,28,0,0,28,06,073,007905
Census Tract 79.07; San Diego County; California,1621,181,107,308,125,240,169,17,49,25,71,49,0,13,36,22,0,0,22,06,073,007907
Census Tract 79.08; San Diego County; California,1549,242,78,134,153,326,290,36,61,40,36,9,0,0,9,27,0,10,17,06,073,007908
Census Tract 79.10; San Diego County; California,1518,216,168,151,110,146,76,19,11,0,70,0,0,0,0,70,0,27,24,06,073,007910
Census Tract 79.11; San Diego County; California,1208,64,46,230,132,180,180,12,0,91,0,0,0,0,0,0,0,0,0,06,073,007911
Census Tract 79.12; San Diego County; California,847,71,81,101,104,162,99,0,0,51,63,0,0,0,0,63,0,0,0,06,073,007912
Census Tract 80.02; San Diego County; California,1039,50,132,163,356,517,469,47,211,73,48,10,0,0,10,38,0,0,38,06,073,008002
Census Tract 80.03; San Diego County; California,1804,204,146,144,630,280,251,0,54,19,29,0,0,0,0,29,0,20,9,06,073,008003
Census Tract 80.06; San Diego County; California,1819,250,291,178,317,480,282,0,49,92,198,41,11,8,22,157,8,121,9,06,073,008006
Census Tract 81.01; San Diego County; California,1676,129,52,197,295,398,366,30,133,36,32,32,0,11,21,0,0,0,0,06,073,008101
Census Tract 81.02; San Diego County; California,1296,93,99,184,554,708,542,8,240,135,166,30,0,13,17,136,0,0,136,06,073,008102
Census Tract 82.01; San Diego County; California,997,38,76,102,325,457,400,0,66,39,57,21,0,0,21,36,0,6,21,06,073,008201
Census Tract 82.02; San Diego County; California,670,28,57,83,158,7,7,0,7,0,0,0,0,0,0,0,0,0,0,06,073,008202
Census Tract 83.01; San Diego County; California,1243,95,50,86,657,604,595,83,250,80,9,0,0,0,0,9,0,0,9,06,073,008301
Census Tract 83.03; San Diego County; California,1368,113,85,135,664,634,566,85,252,169,68,0,0,0,0,68,0,34,34,06,073,008303
Census Tract 83.05; San Diego County; California,416,19,4,11,12,185,117,4,25,3,68,0,0,0,0,68,0,18,39,06,073,008305
Census Tract 83.06; San Diego County; California,995,118,29,83,544,551,389,32,223,54,162,5,0,0,0,157,0,72,54,06,073,008306
Census Tract 83.07; San Diego County; California,1604,65,78,220,474,870,772,160,256,122,98,35,6,12,17,63,0,20,22,06,073,008307
Census Tract 83.10; San Diego County; California,2295,113,321,152,949,1123,981,110,274,338,142,108,0,55,53,34,0,34,0,06,073,008310
